,upc,sku,Manufacturer,productGuide,mfgPart,Sku,Upc,Upc14,BatteryChemistry,numberOfCells,maximumBatteryRunTime,fingerPrintReader,frontCamera,Hdmi,networkRJ45,totalNumberOfUsbPorts,numberOfUsb3.0Ports,aspectRatio,screenResolution,screenSize,graphicsControllerManufacturer,graphicsControllerModel,graphicsMemoryTechnology,graphicsMemoryAccessibility,displayScreenTechnology,productType,manufacturerPartNumber,manufacturer,productModel,productName,productSeries,brandName,standardMemory,memoryTechnology,packageContents,greenCompliant,greenComplianceCertificate,bluetooth,wirelessLAN,wirelessLANStandard,weightApproximate,color,height,width,depth,opticalDriveType,solidStateDriveCapacity,processorSpeed,processorType,processorModel,processorCore,processorManufacturer,operatingSystem,operatingSystemArchitecture,operatingSystemPlatform,limitedWarranty,headphone.microphoneComboPort,microHdmi,touchScreen,flashMemoryCapacity
85,8.86228E+11,272726127,ASUS - CHROMEBOOK,,C300MA-DH02,272726127,886227904297,00886227904297,,3-cell,10 Hour,,,Yes,,2,1,16:9,1366 x 768,"13.3""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Chromebook,C300MA-DH02,ASUS Computer International,C300MA-DH02,Chromebook C300MA-DH02 Notebook,C300MA,Asus,4 GB,DDR3L SDRAM, Chromebook C300MA-DH02 Notebook Lithium Ion Battery AC Adapter ,Yes,RoHS /  ENERGY STAR 4.0,Yes,Yes,IEEE 802.11ac,3.10 lb,Black,"0.9""","13""","9.1""",No,,2.16 GHz,Celeron,N2830,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,1 Year,Yes,,No,
86,7.25184E+11,283842835,Hewlett Packard,,n1c10ua#aba,283842835,725184047374,00725184047374,,3-cell,8.25 Hour,,,Yes,,,,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Chromebook,n1c10ua#aba,HP Inc.,11-2210nr,Chromebook 11-2210nr Notebook PC,11-2200,HP,2 GB,DDR3L SDRAM, Chromebook 11-2210nr Notebook PC Lithium Polymer Battery AC Adapter ,Yes,ENERGY STAR,Yes,Yes,IEEE 802.11ac,2.83 lb,Smoke Silver /  Ano Silver,"0.8""","11.8""","8.1""",,,2.16 GHz,Celeron,N2840,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,,Yes,,No,
88,8.89894E+11,293262489,Hewlett Packard,,N9E35UA,293262489,889894442215,00889894442215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,8.88794E+11,270188593,HPI - CONSUMER PRODUCTS,,J9M84UA#ABA,270188593,888793711927,00888793711927,,3-cell,,,,,,,,16:9,1366 x 768,"14""",,,,,,Chromebook,J9M84UA#ABA,HP Inc.,14-x010nr,Chromebook 14-x010nr Notebook,14-x000,HP,2 GB,, Chromebook 14-x010nr Notebook Standard Battery AC Adapter ,,,Yes,Yes,IEEE 802.11ac,,,,,,,,,,,,NVIDIA,Chrome OS,32-bit,Chrome OS,,,,No,
92,8.86228E+11,277228170,Asus,Asus,T100CHI-B1-BK,277228170,886227941315,00886227941315,,,,,Yes,,,,,16:10,1920 x 1200,"10.1""",Intel,HD Graphics,LPDDR3,Shared,In-plane Switching (IPS) Technology /  TruVivid Technology,Net-tablet PC,T100CHI-B1-BK,ASUS Computer International,T100CHI-B1-BK,Transformer Book T100CHI-B1-BK Net-tablet PC,T100 Chi,Asus,2 GB,LPDDR3,Transformer Book T100CHI-B1-BK&amp;#160;Net-tablet PCLithium Polymer BatteryAC AdapterKeyboard DockUser E-ManualWarranty Card,Yes,WEEE /  RoHS /  ErP /  ENERGY STAR,Yes,Yes,IEEE 802.11 a/g/n,2.40 lb,Black,"0.5""","10.1""","6.9""",No,,1.46 GHz,Atom,Z3775,Quad-core (4 Core),Intel,Windows 8.1,,Windows,1 Year,,,,32 GB
94,8.89349E+11,289332542,Asus,,90NB05M1-M01580,289332542,889349243640,00889349243640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,8.88794E+11,295866898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,8.879E+11,272879941,Acer,,NX.MQNAA.001,272879941,887899706240,00887899706240,,3-cell,8.50 Hour,No,Yes,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3 SDRAM,Shared,ComfyView,Chromebook,NX.MQNAA.001,"Acer, Inc",CB3-111-C9DJ,CB3-111-C9DJ Notebook,CB3-111,Acer,2 GB,DDR3L SDRAM,CB3-111-C9DJ NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n/ac,2.43 lb,,"0.7""","11.8""","8""",No,,2.16 GHz,Celeron,N2830,Dual-core (2 Core),Intel,Chrome OS,64-bit,Chrome OS,,,,,16 GB
97,8.28063E+11,282462040,Visual Land,,ME10W16GBBLK,282462040,828063340129,00828063340129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,8.879E+11,275620684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,8.89895E+11,287770813,HP INC. - SB NOTEBOOKS,,T3L13UT#ABA,287770813,889894515087,00889894515087,,2-cell,10.50 Hour,,,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Notebook,T3L13UT#ABA,HP Inc.,,Stream 11 Pro G2 Notebook PC,,HP,2 GB,DDR3L SDRAM, Stream 11 Pro G2 Notebook PC Lithium Polymer Battery AC Adapter ,Yes,REACH /  ENERGY STAR,Yes,Yes,IEEE 802.11a/b/g/n/ac,2.43 lb,,"0.7""","11.8""","8.1""",No,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Windows 10 Pro,64-bit,Windows,1 Year,Yes,,,
106,7.94193E+11,250173439,Compucessory,,CCS51546,250173439,794192515465,00794192515465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,8.89349E+11,285570456,Asus,Asus,X205TA-SATM0404G,285570456,889349006788,00889349006788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,8.89349E+11,283433397,ASUS - CHROMEBOOK,,C100PA-DB01,283433397,889349062166,00889349062166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,8.84116E+11,278005302,DELL CHROMEBOOKS,DELL CHROMEBOOKS,3VK89,278005302,884116176527,00884116176527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,8.89349E+11,288190708,Asus,,C300MA-DH02-RD,288190708,889349188682,00889349188682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,8.89349E+11,288190709,Asus,,C300MA-DH02-LB,288190709,889349188705,00889349188705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,8.89895E+11,288293385,HP INC.,,N9E33UA#ABA,288293385,889894510679,00889894510679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,8.89349E+11,294763619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,8.89801E+11,286066097,Lenovo Americas,,80EW02FKUS,286066097,889800996245,00889800996245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,8.86228E+11,262949987,Asus,Asus,C200MA-EDU,262949987,886227736133,00886227736133,,3-cell,11 Hour,,,Yes,No,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Chromebook,90NB05M1-M00440,ASUS Computer International,C200MA-EDU,Chromebook C200MA-EDU,C200MA,Asus,2 GB,DDR3L SDRAM, Chromebook C200MA-EDU Lithium Ion Battery AC Adapter ,Yes,RoHS /  ENERGY STAR,Yes,Yes,IEEE 802.11a/b/g/n,2.50 lb,Black,"0.8""","12""","7.9""",No,,2.16 GHz,Celeron,N2830,Dual-core (2 Core),Intel,Chrome OS,32-bit,Chrome OS,1 Year,Yes,,,
124,22265915486,278470021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,8.879E+11,275311157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,8.89955E+11,292343312,Lenovo,Lenovo,80R90004US,292343312,889955354365,00889955354365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,8.89349E+11,286994917,Asus,Asus,TP200SA-DH04T,286994917,889349162880,00889349162880,,,,,Yes,,,3,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,TP200SA-DH04T,ASUS Computer International,TP200SA-DH04T,Transformer Book Flip TP200SA-DH04T Net-tablet PC,TP200SA,Asus,4 GB,DDR3L SDRAM, Transformer Book Flip TP200SA-DH04T Net-tablet PC Lithium Polymer Battery AC Adapter ,Yes,ENERGY STAR 4.0 /  ErP /  RoHS,Yes,Yes,IEEE 802.11ac,2.60 lb,Dark Blue,"0.7""","11.7""","7.9""",No,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Windows 10,64-bit,Windows,1 Year,,,,64 GB
131,8.89234E+11,277653910,Lenovo,,20EDS00100,277653910,889233743294,00889233743294,,6-cell,6.60 Hour,,,,Yes,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Notebook,20EDS00100,Lenovo Group Limited,20EDS00100,ThinkPad 11e (AMD),11e,Lenovo,4 GB,DDR3L SDRAM, ThinkPad 11e (AMD) Lithium Polymer Battery AC Adapter Windows 8.1 Pro License Media ,Yes,EPEAT Silver /  ENERGY STAR 6.1 /  RoHS,Yes,Yes,IEEE 802.11ac,3.30 lb,Graphite Black,"0.9""","11.8""","8.5""",No,,1.80 GHz,A-Series,A4-6210,Quad-core (4 Core),AMD,Windows 7 Professional Upgradable to Windows 8.1 Pro,64-bit,Windows,1 Year,Yes,,,
132,22265863312,270481138,Toshiba,,PLM02U-009008,270481138,022265863312,00022265863312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,8.89349E+11,294506728,Asus,Asus,C202SA-YS01,294506728,889349335246,00889349335246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,8.879E+11,268363679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,8.89894E+11,285905224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,8.89899E+11,293655848,HP INC. - CHROMEBOOKS,,V2W30UT#ABA,293655848,889899102695,00889899102695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,22265866290,270803110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,8.87759E+11,292341967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,8.86228E+11,270969788,Asus,Asus,90NB0794-M00280,270969788,886227843930,00886227843930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,8.88794E+11,281408624,Hewlett Packard,,K3Y84UA#ABA,281408624,888793695890,00888793695890,,3-cell,,,Yes,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Notebook,K3Y84UA#ABA,Hewlett-Packard,11-d010wm,Stream 11-d010wm Notebook,11-d000,HP,2 GB,DDR3L SDRAM,Stream 11-d010wm&amp;nbsp;NotebookLithium Ion BatteryAC Adapter,Yes,ENERGY STAR /  EPEAT Silver,Yes,Yes,IEEE 802.11b/g/n,2.80 lb,Blue Horizon,"0.8""","11.8""","8.1""",,,2.16 GHz,Celeron,N2840,Dual-core (2 Core),Intel,Windows 8.1 with Bing,64-bit,Windows,1 Year,Yes,,,32 GB
148,8.21271E+11,288891419,CTL Corp,,NBCNL6B,288891419,821270506746,00821270506746,,,9.50 Hour,,Yes,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,,DDR3L SDRAM,Shared,,Chromebook,NBCNL6B,CTL,NL6,Education Chromebook NL6 Notebook,,CTL,4 GB,DDR3L SDRAM, Education Chromebook NL6 Notebook Standard Battery AC Adapter ,,,Yes,Yes,IEEE 802.11a/b/g/n/ac,3.04 lb,White,"0.9""","11.8""","8.4""",,16 GB,,,,,Intel,Chrome OS,,Chrome OS,1 Year,Yes,,,
152,8.879E+11,276980493,ACER- CHROME PRODUCTS,,NX.EF2AA.001,276980493,887899773884,00887899773884,,3-cell,,No,,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,ComfyView,Chromebook,NX.EF2AA.001,"Acer, Inc",C740-C3P1,C740-C3P1 Notebook,C740,Acer,2 GB,DDR3L SDRAM,C740-C3P1 NotebookLithium Polymer BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n/ac,2.87 lb,,"0.8""","11.3""","8""",No,16 GB,1.50 GHz,Celeron,3205U,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,,,,,
156,8.86228E+11,285915944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,8.86228E+11,255112973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,8.89349E+11,288190839,Asus,,C300MA-DH02-YL,288190839,889349188699,00889349188699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,8.89661E+11,288361202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1.90152E+11,293391478,Lenovo Americas,,80S60000US,293391478,190151652538,00190151652538,,3-cell,,,Yes,Yes,Yes,3,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,LPDDR3,Shared,Twisted nematic (TN),Notebook,80S60000US,Lenovo Group Limited,80S60000US,N22 80S60000US Notebook,N22,Lenovo,2 GB,LPDDR3,N22 80S60000US NotebookLithium Polymer BatteryAC Adapter,,,Yes,Yes,IEEE 802.11ac,2.69 lb,Business Black,"8.4""","11.8""","0.9""",,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Windows 10 Pro (English),64-bit,Windows,1 Year,Yes,,No,
163,8.879E+11,276980490,ACER- CHROME PRODUCTS,,C740-C4PE,276980490,887899773891,00887899773891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,8.88863E+11,292338681,Acer,,ae8242eb983bd5c3,292338681,888863161669,00888863161669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,8.879E+11,285914193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,8.88864E+11,290556520,ACER- CHROME PRODUCTS,,NX.GC1AA.002,290556520,888863528141,00888863528141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,8.879E+11,272446257,Acer,,NX.MPRAA.001,272446257,887899658297,00887899658297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,7.87468E+11,292335129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,8.84116E+11,278005331,DELL CHROMEBOOKS,DELL CHROMEBOOKS,XDGJH,278005331,884116176541,00884116176541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,8.89956E+11,287725640,Lenovo,,20ED001HUS,287725640,889955719119,00889955719119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,8.88864E+11,293753950,Acer,,NX.VCHAA.002,293753950,888863591480,00888863591480,,4-cell,12 Hour,No,Yes,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,ComfyView,Notebook,NX.VCHAA.002,"Acer, Inc",TMB117-M-C578,TravelMate TMB117-M-C578 Notebook,B117-MP,Acer,2 GB,DDR3L SDRAM,TravelMate TMB117-M-C578 NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n/ac,3.09 lb,,"0.9""","11.5""","8.3""",No,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Windows 10 Pro,64-bit,Windows,,,,,32 GB
187,8.84116E+11,282264035,Dell,,463-6014,282264035,884116193739,00884116193739,,4-cell,,,Yes,,Yes,3,1,16:9,1366 x 768,"14""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Notebook,463-6014,"Dell, Inc",14-3458,Vostro 14-3458 Notebook,14 3000,Dell,4 GB,DDR3L SDRAM, Vostro 14-3458 Notebook Lithium Ion Battery AC Adapter ,,,Yes,Yes,IEEE 802.11ac,4.28 lb,Black,"0.9""","13.6""","9.6""",DVD-Writer,,1.50 GHz,Celeron,3205U,Dual-core (2 Core),Intel,Windows 8.1 (English/French),64-bit,Windows,,Yes,,,
188,8.84116E+11,287496130,Dell Consumer,,i3552-5240BLK,287496130,884116168331,00884116168331,,4-cell,8 Hour,,,Yes,,3,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics,,Shared,TrueLife,Notebook,i3552-5240BLK,"Dell, Inc",15-3552,Inspiron-15-3552 Notebook,15-3000,Dell,4 GB,DDR3L SDRAM, Inspiron-15-3552 Notebook Standard Battery AC Adapter ,Yes,EPEAT Bronze /  ENERGY STAR 6.0,Yes,Yes,IEEE 802.11b/g/n,4.72 lb,Black,"0.9""","15""","10.2""",No,,1.60 GHz,Pentium,N3700,Quad-core (4 Core),Intel,Windows 10 Home (English),64-bit,Windows,,Yes,,No,
190,92281801216,209084669,Panasonic,,CF-VEB522M,209084669,092281801216,00092281801216,,,,,,,Yes,4,,,,,,,,,,Docking Station,CF-VEB522M,Panasonic,CF-VEB522M,Desktop Dock,,Panasonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,8.89895E+11,288647532,HP INC.,,T4M32UT#ABA,288647532,889894582294,00889894582294,,3-cell,8.25 Hour,,Yes,Yes,,3,1,16:9,1366 x 768,"14""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Chromebook,T4M32UT#ABA,HP Inc.,,Chromebook 14 G4 (ENERGY STAR),14 G4,HP,4 GB,DDR3L SDRAM, Chromebook 14 G4 (ENERGY STAR) Lithium Polymer Battery AC Adapter Power Cord ,Yes,EU WEEE /  RoHS /  EPEAT Gold /  ENERGY STAR /  IT Eco Declaration /  WEEE,Yes,Yes,IEEE 802.11a/b/g/n/ac,3.77 lb,,"0.7""","13.5""","9.4""",No,16 GB,2.16 GHz,Celeron,N2840,Dual-core (2 Core),Intel,Chrome OS (English),,Chrome OS,1 Year,Yes,,,
193,22265863282,270481155,Toshiba,,PLM02U-007008,270481155,022265863282,00022265863282,,3-cell,11 Hour,,Yes,Yes,,2,1,16:9,1366 x 768,"13.3""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Chromebook,PLM02U-007008,Toshiba,CB35-B3330,Chromebook 2 CB35-B3330 Notebook,CB35-B,Toshiba,2 GB,DDR3L SDRAM, Chromebook 2 CB35-B3330 Notebook AC Adapter ,Yes,ENERGY STAR /  EPEAT Gold /  RoHS,Yes,Yes,IEEE 802.11ac,2.95 lb,Textured Resin in Silver,"0.8""","12.6""","8.4""",No,16 GB,2.16 GHz,Celeron,N2840,Dual-core (2 Core),Intel,Chrome OS,64-bit,Chrome OS,1 Year,Yes,,,
195,8.84116E+11,292334591,Dell Computers,,i3452-5600BLK,292334591,884116168027,00884116168027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,8.86228E+11,271838118,Asus,Asus,T100TA-C1-GR-B,271838118,886227919604,00886227919604,,,,,Yes,,,1,1,16:9,1366 x 768,"10.1""",Intel,HD Graphics,DDR3 SDRAM,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,T100TA-C1-GR-B,ASUS Computer International,T100TA-C1-GR-B,Transformer Book T100TA-C1-GR-B Net-tablet PC,T100TA,Asus,2 GB,DDR3 SDRAM,Transformer Book T100TA-C1-GR-B Net-tablet PCAC AdapterKeyboard DockUser E-ManualWarranty Card,Yes,RoHS /  ENERGY STAR 4.0 /  ErP,Yes,Yes,IEEE 802.11 a/g/n,2.40 lb,Gray,"0.9""","10.4""","6.7""",No,64 GB,1.33 GHz,Atom,Z3740,Quad-core (4 Core),Intel,Windows 8.1 with Bing,64-bit,Windows,1 Year,,,,
202,8.84116E+11,283405383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,8.86228E+11,277228162,Asus,Asus,90NB06I4-M00290,277228162,886227981021,00886227981021,,,,,Yes,,Yes,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,LPDDR3,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,90NB06I4-M00290,ASUS Computer International,T200TA-B1-BL,Transformer Book T200TA-B1-BL Net-tablet PC,T200TA,Asus,2 GB,LPDDR3, Transformer Book T200TA-B1-BL Net-tablet PC AC Adapter Keyboard Dock User E-Manual Warranty Card ,Yes,RoHS /  ErP /  ENERGY STAR 4.0,Yes,Yes,IEEE 802.11 a/g/n,3.60 lb,Dark Blue,"1""","12""","7.9""",No,32 GB,1.46 GHz,Atom,Z3775,Quad-core (4 Core),Intel,Windows 8.1,32-bit,Windows,1 Year,,,,
206,8.879E+11,276113813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,8.89349E+11,292333645,ASUS Computers,,E402MA-EH01-BL,292333645,889349200599,00889349200599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1.90152E+11,293391425,Lenovo,Lenovo,80S60001US,293391425,190151652521,00190151652521,,3-cell,,,Yes,Yes,Yes,3,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,LPDDR3,Shared,Twisted nematic (TN),Notebook,80S60001US,Lenovo Group Limited,80S60001US,N22 80S60001US Notebook,N22,Lenovo,4 GB,LPDDR3,N22 80S60001US NotebookLithium Polymer BatteryAC Adapter,,,Yes,Yes,IEEE 802.11ac,2.69 lb,Business Black,"8.4""","11.8""","0.9""",,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Windows 10 Pro (English),64-bit,Windows,1 Year,Yes,,No,32 GB
