,upc,sku,Manufacturer,productGuide,mfgPart,Sku,Upc,Upc14,BatteryChemistry,numberOfCells,maximumBatteryRunTime,fingerPrintReader,frontCamera,Hdmi,networkRJ45,totalNumberOfUsbPorts,numberOfUsb3.0Ports,aspectRatio,screenResolution,screenSize,graphicsControllerManufacturer,graphicsControllerModel,graphicsMemoryTechnology,graphicsMemoryAccessibility,displayScreenTechnology,productType,manufacturerPartNumber,manufacturer,productModel,productName,productSeries,brandName,standardMemory,memoryTechnology,packageContents,greenCompliant,greenComplianceCertificate,bluetooth,wirelessLAN,wirelessLANStandard,weightApproximate,color,height,width,depth,opticalDriveType,solidStateDriveCapacity,processorSpeed,processorType,processorModel,processorCore,processorManufacturer,operatingSystem,operatingSystemArchitecture,operatingSystemPlatform,limitedWarranty,headphone.microphoneComboPort,microHdmi,touchScreen,flashMemoryCapacity
351,8.89349E+11,283842922,ASUS - CHROMEBOOK,,C100PA-DB02,283842922,889349109946,00889349109946,,,,,Yes,,,2,,16:10,1280 x 800,"10.1""",ARM,Mali-T764,,,In-plane Switching (IPS) Technology,Net-tablet PC,C100PA-DB02,ASUS Computer International,C100PA-DB02,Chromebook Flip C100PA-DB02 Net-tablet PC,C100PA,Asus,4 GB,LPDDR3, Chromebook Flip C100PA-DB02 Net-tablet PC Lithium Polymer Battery AC Adapter User E-Manual Warranty Card ,Yes,RoHS,Yes,Yes,IEEE 802.11ac,2 lb,Silver,"0.6""","10.4""","7.2""",No,,1.80 GHz,Cortex A17,RK3288,Quad-core (4 Core),Rockchip,Chrome OS,,Chrome OS,1 Year,,,,16 GB
354,8.89028E+11,294505900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,22265962862,279342970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,8.86228E+11,261157636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,22265593561,285914901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,8.89234E+11,295866922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,8.89894E+11,285532892,Hewlett Packard,,P1A93UA#ABA,285532892,889894178107,00889894178107,,3-cell,,,,,,,,16:9,1366 x 768,"15.6""",AMD,Radeon R4 Graphics,,Shared,,Notebook,P1A93UA#ABA,HP Inc.,15-af175nr,Notebook - 15-af175nr (TOUCH) (ENERGY STAR),15-af100,HP,4 GB,, Notebook - 15-af175nr (TOUCH) (ENERGY STAR) Standard Battery AC Adapter ,Yes,ENERGY STAR,Yes,Yes,IEEE 802.11b/g/n,,White Silver /  Flyer Red,,,,DVD-Writer,,1.80 GHz,A-Series,A6-6310,Quad-core (4 Core),AMD,Windows 10,,Windows,,,,Yes,
362,8.86228E+11,260026933,Asus,Asus,D550MA-DS01,260026933,886227660605,00886227660605,,3-cell,4 Hour,,,Yes,Yes,2,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics,DDR3 SDRAM,Shared,,Notebook,90NB0481-M01490,ASUS Computer International,D550MA-DS01,D550MA-DS01 Notebook,D550MA,Asus,4 GB,DDR3 SDRAM, D550MA-DS01 Notebook AC Adapter User Manual Warranty Card ,Yes,RoHS /  ENERGY STAR 4.0 /  EPEAT,No,Yes,IEEE 802.11b/g/n,4.70 lb,Black,"1.2""","15""","9.9""",DVD-Writer,,1.86 GHz,Celeron,N2815,Dual-core (2 Core),Intel,Windows 8,64-bit,Windows,1 Year,Yes,,No,
364,8.84116E+11,267421691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,8.88794E+11,292332801,Hewlett Packard,,J9M24UA,292332801,888793574317,00888793574317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,8.879E+11,270480585,Acer,,NX.MQVAA.001,270480585,887899655227,00887899655227,,4-cell,,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3 SDRAM,Shared,ComfyView,Notebook,NX.MQVAA.001,"Acer, Inc",E3-111-C1XL,Aspire E3-111-C1XL Notebook,E3-111,Acer,4 GB,DDR3L SDRAM,Aspire E3-111-C1XL NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n,3.06 lb,Silver,"0.8""","11.5""","8.3""",No,,1.83 GHz,Celeron,N2940,Quad-core (4 Core),Intel,Windows 7 Home Premium,64-bit,Windows,,,,,
374,6.80474E+11,278629564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,8.88863E+11,292337586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,8.88863E+11,287766092,Acer,,NT.MX3AA.005,287766092,888863333028,00888863333028,,2-cell,,No,Yes,,,,,16:10,1280 x 800,"10.1""",Intel,HD Graphics,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,2 in 1 Netbook,NT.MX3AA.005,"Acer, Inc",SW3-013-1566,Aspire SW3-013-1566 2 in 1 Netbook,SW3-013,Acer,2 GB,DDR3L SDRAM,Aspire SW3-013-1566 2 in 1 NetbookLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.33 GHz,Atom,Z3735F,Quad-core (4 Core),Intel,Windows 10 Home,32-bit,Windows,,Yes,Yes,Yes,
380,8.89297E+11,280521932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,8.88793E+11,295866930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,8.89801E+11,285867380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,8.88863E+11,277111440,ACER- CHROME PRODUCTS,,NX.EF3AA.004,277111440,888863051038,00888863051038,,4-cell,,No,,Yes,,2,1,16:9,1920 x 1080,"15.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,ComfyView,Chromebook,NX.EF3AA.004,"Acer, Inc",C910-C37P,C910-C37P Notebook,C910,Acer,4 GB,DDR3L SDRAM,C910-C37P NotebookLithium Polymer BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n/ac,4.85 lb,Black,"1""","15.1""","10.1""",No,32 GB,1.50 GHz,Celeron,3205U,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,,,,,
386,8.88794E+11,292333748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,8.89894E+11,285009981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,8.88794E+11,271886242,HP INC. - CONSUMER ENTRY,,K2L96UA#ABA,271886242,888793821121,00888793821121,,3-cell,7.75 Hour,,,Yes,,3,1,16:9,1366 x 768,"13.3""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Notebook,K2L96UA#ABA,HP Inc.,13-c010nr,Stream Notebook - 13-c010nr (ENERGY STAR),13-c000,HP,2 GB,DDR3L SDRAM, Stream Notebook - 13-c010nr (ENERGY STAR) Lithium Ion Battery AC Adapter ,Yes,ENERGY STAR,Yes,Yes,IEEE 802.11b/g/n,3.42 lb,Blue Horizon,"0.8""","13.1""","9""",No,,2.16 GHz,Celeron,N2840,Dual-core (2 Core),Intel,Windows 8.1 with Bing,64-bit,Windows,1 Year,Yes,,,
396,8.89661E+11,284120069,Toshiba,,PDW0GU-005005,284120069,889661016052,00889661016052,,2-cell,,,Yes,,,2,,16:10,1920 x 1200,"10.1""",Intel,HD Graphics,DDR3 SDRAM,Shared,TruBrite,2 in 1 Netbook,PDW0GU-005005,Toshiba,LX0W-C64,Satellite Click 10 LX0W-C64 2 in 1 Netbook,LX0W-C,Toshiba,2 GB,DDR3 SDRAM, Satellite Click 10 LX0W-C64 2 in 1 Netbook AC Adapter Keyboard Dock ,Yes,RoHS /  EPEAT Gold /  ENERGY STAR,Yes,Yes,IEEE 802.11 a/g/n,2.40 lb,Satin Gold,"0.8""","10.2""","7.3""",,,1.44 GHz,Atom x5,x5-Z8300,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,1 Year,Yes,Yes,Yes,
397,8.86228E+11,264022437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,7.8692E+11,292340640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,8.86228E+11,281872824,Asus,,90NB0481-M11340-RFBB,281872824,886227913671,00886227913671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,8.88864E+11,295877435,Acer,,NT.G0MAA.006,295877435,888863607914,00888863607914,,2-cell,,,Yes,,,1,,16:10,1280 x 800,"10.1""",Intel,HD Graphics,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,Notebook,NT.G0MAA.006,"Acer, Inc",SW3-013-12HH,Aspire Switch 10 E SW3-013-12HH Notebook,SW3-013,Acer,2 GB,DDR3L SDRAM, Aspire Switch 10 E SW3-013-12HH Notebook Lithium Polymer Battery AC Power Adapter AC Power Cord Keyboard Dock Setup Poster Registration/Limited Warranty Card ,,,Yes,Yes,IEEE 802.11a/b/g/n,2.54 lb,Peacock Blue,"0.9""","10.3""","7.1""",No,,1.33 GHz,Atom,Z3735F,Quad-core (4 Core),Intel,Windows 10 Home,32-bit,Windows,1 Year,Yes,Yes,Yes,32 GB
403,8.88864E+11,290195595,ACER - TABLETS,,NT.G8UAA.002,290195595,888863519330,00888863519330,,,,,Yes,,,1,1,16:10,1280 x 800,"10.1""",Intel,HD Graphics,LPDDR3,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,NT.G8UAA.002,"Acer, Inc",SW3-016-10LF,Aspire SW3-016-10LF Net-tablet PC,SW3-016,Acer,2 GB,LPDDR3,Aspire SW3-016-10LF Net-tablet PCLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.44 GHz,Atom x5,x5-Z8300,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,,,,,64 GB
406,8.88864E+11,290195552,ACER - TABLETS,,NT.G8WAA.002,290195552,888863519354,00888863519354,,,,,Yes,,,1,1,16:10,1280 x 800,"10.1""",Intel,HD Graphics,LPDDR3,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,NT.G8WAA.002,"Acer, Inc",SW3-016-17WG,Aspire SW3-016-17WG Net-tablet PC,SW3-016,Acer,2 GB,LPDDR3,Aspire SW3-016-17WG Net-tablet PCLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.44 GHz,Atom x5,x5-Z8300,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,,,,,64 GB
408,8.88863E+11,280917179,ACER- CHROME PRODUCTS,,NX.G14AA.002,280917179,888863175116,00888863175116,,4-cell,,No,,Yes,,2,2,16:9,1920 x 1080,"13.3""",NVIDIA,,DDR3L SDRAM,Shared,,Notebook,NX.G14AA.002,"Acer, Inc",C810-T9CA,C810-T9CA Notebook,C810,Acer,4 GB,DDR3L SDRAM,C810-T9CA NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11ac,3.31 lb,,"0.7""","12.9""","9""",No,16 GB,2.10 GHz,Tegra K1,CD570M-A1,Quad-core (4 Core),NVIDIA,Chrome OS,,Chrome OS,,,,,
410,8.88793E+11,265059884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,8.88632E+11,268557075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,8.89801E+11,292141919,Lenovo,Lenovo,Flex 3-1130,292141919,889800933943,00889800933943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,8.88794E+11,292334087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,8.88863E+11,294118866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,8.89801E+11,285643406,Lenovo,,80LS001JUS,285643406,889800996917,00889800996917,,,,,,Yes,Yes,3,,16:9,,"14""",,,,,,Notebook,80LS001JUS,Lenovo Group Limited,80LS001JUS,B40-80 80LS001JUS Notebook,B40-80,Lenovo,4 GB,DDR3L SDRAM, B40-80 80LS001JUS Notebook Lithium Ion Battery AC Adapter ,Yes,RoHS,Yes,,,,,,,,,,1.70 GHz,Core i3,i3-4005U,Dual-core (2 Core),Intel,Windows 10,,Windows,,Yes,,,
419,8.88864E+11,290195587,ACER - TABLETS,,NT.G8VAA.003,290195587,888863519347,00888863519347,,,,,Yes,,,1,1,16:10,1280 x 800,"10.1""",Intel,HD Graphics,LPDDR3,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,NT.G8VAA.003,"Acer, Inc",SW3-016-13VA,Aspire SW3-016-13VA Net-tablet PC,SW3-016,Acer,2 GB,LPDDR3,Aspire SW3-016-13VA Net-tablet PCLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.44 GHz,Atom x5,x5-Z8300,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,,,,,64 GB
420,8.88864E+11,290195574,ACER - TABLETS,,NT.G8YAA.002,290195574,888863519378,00888863519378,,,,,Yes,,,1,1,16:10,1280 x 800,"10.1""",Intel,HD Graphics,LPDDR3,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,NT.G8YAA.002,"Acer, Inc",SW3-016-1275,Aspire SW3-016-1275 Net-tablet PC,SW3-016,Acer,2 GB,LPDDR3,Aspire SW3-016-1275 Net-tablet PCLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.44 GHz,Atom x5,x5-Z8300,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,,,,,64 GB
423,7.35858E+11,276883150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,8.84116E+11,292336521,Dell Marketing USA  LP,,i3000-101SLV,292336521,884116204541,00884116204541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,8.89894E+11,288375735,HP INC.,,N0B02AA #ABA,288375735,889894288141,00889894288141,,,,,,Yes,,4,4,,,,Intel,HD Graphics,DDR3L SDRAM,Shared,,Desktop Computer,N0B02AA #ABA,HP Inc.,300-240,Pavilion Mini Desktop - 300-240 (ENERGY STAR),300-200,HP,2 GB,DDR3L SDRAM, Pavilion Mini Desktop - 300-240 (ENERGY STAR) Power Adapter Wireless Keyboard Wireless Mouse USB Receiver ,Yes,ENERGY STAR /  EPEAT Silver,Yes,Yes,,1.46 lb,,"2.1""","5.7""","5.7""",,,1.50 GHz,Celeron,3205U,,Intel,Windows 10 Home,,Windows,1 Year,,,,
429,8.86228E+11,292335432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,8.879E+11,271838125,ACER - TABLETS,,NT.L67AA.001,271838125,887899858932,00887899858932,,,,,Yes,,,,,16:9,1366 x 768,"11.6""",Intel,HD Graphics,LPDDR3,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,NT.L67AA.001,"Acer, Inc",SW5-111-194G,Aspire SW5-111-194G Net-tablet PC,SW5-111,Acer,2 GB,LPDDR3,Aspire SW5-111-194G Net-tablet PCLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,3.22 lb,,"1""","11.7""","8.1""",No,,1.33 GHz,Atom,Z3745,Quad-core (4 Core),Intel,Windows 8.1,32-bit,Windows,,,,,32 GB
433,8.879E+11,265607810,Acer,,NX.MKEAA.005,265607810,887899648601,00887899648601,,3-cell,7.50 Hour,No,Yes,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3 SDRAM,Shared,,Chromebook,NX.MKEAA.005,"Acer, Inc",C720P-29554G03aww,C720P-29554G03aww Notebook,C720P,Acer,4 GB,DDR3L SDRAM,C720P-29554G03aww NotebookLithium Polymer BatteryAC Adapter,Yes,EPEAT Silver,Yes,Yes,IEEE 802.11a/b/g/n,2.87 lb,White,"0.8""","11.3""","8""",No,32 GB,1.40 GHz,Celeron,2955U,Dual-core (2 Core),Intel,Chrome OS,64-bit,Chrome OS,1 Year,,,Yes,
436,8.88864E+11,290663870,Acer,,NT.G1WAA.005,290663870,888863519309,00888863519309,,2-cell,,No,Yes,,,,,16:10,1280 x 800,"10.1""",Intel,HD Graphics,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,2 in 1 Netbook,NT.G1WAA.005,"Acer, Inc",SW3-013-15UB,Aspire SW3-013-15UB 2 in 1 Netbook,SW3-013,Acer,2 GB,DDR3L SDRAM,Aspire SW3-013-15UB 2 in 1 NetbookLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.33 GHz,Atom,Z3735F,Quad-core (4 Core),Intel,Windows 10 Home,32-bit,Windows,,Yes,Yes,Yes,
438,8.89955E+11,289208928,Lenovo,Lenovo,10G9000NUS,289208928,889955459626,00889955459626,,,,,,,,6,6,,,,Intel,HD Graphics,DDR3L SDRAM,Shared,,Desktop Computer,10G9000NUS,Lenovo Group Limited,10G9000NUS,ThinkCentre M600 10G9000NUS Desktop Computer,M600,Lenovo,4 GB,DDR3L SDRAM, ThinkCentre M600 10G9000NUS Desktop Computer Keyboard Mouse Floor Stand Windows 10 Pro License Media AC/DC Adapter ,Yes,EPEAT Silver /  ErP Lot 3 /  GREENGUARD /  ENERGY STAR 6.0 /  RoHS,Yes,Yes,,2.90 lb,Black,"1.4""","7.1""","7.2""",No,,1.60 GHz,Pentium,N3700,,Intel,Windows 7 Professional Upgradable to Windows 10 Pro,64-bit,Windows,3 Year,,,,
444,8.88864E+11,290195559,ACER - TABLETS,,NT.G8XAA.002,290195559,888863519361,00888863519361,,,,,Yes,,,1,1,16:10,1280 x 800,"10.1""",Intel,HD Graphics,LPDDR3,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,NT.G8XAA.002,"Acer, Inc",SW3-016-17QP,Aspire SW3-016-17QP Net-tablet PC,SW3-016,Acer,2 GB,LPDDR3,Aspire SW3-016-17QP Net-tablet PCLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.44 GHz,Atom x5,x5-Z8300,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,,,,,64 GB
445,22265896495,285916194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,8.87899E+11,258369672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,8.898E+11,292336174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,8.86228E+11,292339862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,8.89233E+11,276650639,Lenovo,,20DH002TUS,276650639,889233224601,00889233224601,,6-cell,6.30 Hour,No,,Yes,Yes,3,2,16:9,1366 x 768,"15.6""",AMD,Radeon R7 M260DX /  Radeon R6,DDR3 SDRAM /  DDR3L SDRAM,Dedicated /  Shared,,Mobile Workstation,20DH002TUS,Lenovo Group Limited,20DH002TUS,ThinkPad E555 20DH002TUS Notebook,E555,Lenovo,4 GB,DDR3L SDRAM, ThinkPad E555 20DH002TUS Notebook Lithium Ion Battery AC Adapter Windows 8.1 Pro 64-bit (License Media) ,Yes,ENERGY STAR /  RoHS /  EPEAT Gold,Yes,Yes,IEEE 802.11b/g/n,5.20 lb,Graphite Black,"1.1""","14.8""","10""",DVD-Writer,,1.90 GHz,A-Series,A10-7300,Quad-core (4 Core),AMD,Windows 7 Professional Upgradable to Windows 8.1 Pro (English),64-bit,Windows,1 Year,Yes,,No,
453,8.879E+11,276319272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,22265965832,292341341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,8.89895E+11,294785523,Hewlett Packard,,P4C42UA#ABA,294785523,889894928443,00889894928443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,8.88864E+11,292051292,Acer,,NX.VBWAA.001,292051292,888863509331,00888863509331,,4-cell,,No,Yes,Yes,Yes,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,ComfyView,Notebook,NX.VBWAA.001,"Acer, Inc",TMB116-M-C0YH,TravelMate TMB116-M-C0YH Notebook,B116-M,Acer,4 GB,DDR3L SDRAM,TravelMate TMB116-M-C0YH NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n/ac,2.76 lb,,"0.8""","11.5""","8.3""",No,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Windows 7 Professional Upgradable to Windows 10 Pro,64-bit,Windows,,,,,
457,8.89296E+11,285726865,Hewlett Packard,,15-R132WM-PB-RC,285726865,889296076827,00889296076827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,8.86228E+11,254174065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,8.89895E+11,291690687,HP INC. - SB NOTEBOOKS,,T6D95UT#ABA,291690687,889894702265,00889894702265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,8.89234E+11,279188096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,8.84116E+11,270617640,Dell,,i3541-5001BLK,270617640,884116145240,00884116145240,,4-cell,,,Yes,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",AMD,Radeon R4 Graphics,DDR3L SDRAM,Shared,TrueLife,Notebook,i3541-5001BLK,"Dell, Inc",15-3541,Inspiron 15-3541 Notebook,15 3000,Dell,8 GB,DDR3L SDRAM, Inspiron 15-3541 Notebook Lithium Ion Battery AC Adapter ,Yes,EPEAT Silver /  ENERGY STAR,Yes,Yes,IEEE 802.11b/g/n,5.51 lb,Black,"1.1""","15""","10.5""",DVD-Writer,,2.40 GHz,A-Series,A6-6310,Quad-core (4 Core),AMD,Windows 8.1 (English),64-bit,Windows,,Yes,,Yes,
